"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M001796","47193","GABLES EAST OF BOCA BARWOOD II CONDO, THE","Palm Beach","23378 SW 57TH AVE #201, BOCA RATON, FL 33428-7706","8","10/03/1983","Approved","Delinquent","MA00012468","GABLES EAST OF BOCA BARWOOD CONDO ASSN","","10112 USA TODAY WAY","MIRAMAR","FL","33025"
"PR1M001866","47212","APPLEWOOD VILLAGE I - B, A CONDO","Broward","CARAMBOLA CIRCLE, COCONUT CREEK, FL 33066","24","08/28/1986","Approved","Delinquent","MA00015878","APPLEWOOD VILLAGE I CONDO ASSOC INC","","10191 W SAMPLE RD","POMPANO BEACH","FL","33065"
"PR1M001867","47213","APPLEWOOD VILLAGE I - D, A CONDO","Broward","CARAMBOLA CIRCLE, COCONUT CREEK, FL 33066","64","07/31/1986","Approved","Delinquent","MA00015878","APPLEWOOD VILLAGE I CONDO ASSOC INC","","10191 W SAMPLE RD","POMPANO BEACH","FL","33065"
"PR1M002038","47256","GRANADA VILLAGE B","Broward","2101-2656, COCONUT CREEK, FL 33066","56","06/22/1981","Approved","Delinquent","MA73149","WYNMOOR COMMUNITY COUNCIL, INC","","1001 WYNMOOR CIRCLE","COCONUT CREEK","FL","33066"
"PR1M002039","47257","GRANADA VILLAGE C","Broward","2101-2656 GRANADA DR, COCONUT CREEK, FL 33066","56","06/22/1981","Approved","Delinquent","MA73149","WYNMOOR COMMUNITY COUNCIL, INC","","1001 WYNMOOR CIRCLE","COCONUT CREEK","FL","33066"
"PR1M002875","47357","MEADOWBROOK LAKES VIEW BLDG A","Broward","135 SE 3RD AVE, DANIA, FL 33004-3709","48","08/18/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002876","47358","MEADOWBROOK LAKES VIEW BLDG B","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","09/15/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002877","47359","MEADOWBROOK LAKES VIEW BLDG C","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","10/24/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002878","47360","MEADOWBROOK LAKES VIEW BLDG D","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","12/01/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002879","47361","MEADOWBROOK LAKES VIEW BLDG E","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","12/18/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M003180","47401","TRELLISES #1B, THE","Broward","9701 N NEW RIVER CANAL RD #1B, PLANTATION, FL 33324-3428","5","06/30/1977","Approved","Delinquent","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003185","47406","TRELLISES #5A, THE","Broward","9701 N NEW RIVER CANAL RD #5A, PLANTATION, FL 33324-3428","16","12/30/1976","Approved","Delinquent","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
