"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR72702","V CONDO","340 JEFFERSON AVE","","MIAMI","FL","33139","2022","12","12","0"
"Condominium Project","23","PR72702","V CONDO","340 JEFFERSON AVE","","MIAMI","FL","33139","2023","12","12","0"
"Condominium Project","23","PR72702","V CONDO","340 JEFFERSON AVE","","MIAMI","FL","33139","2024","12","12","0"
"Condominium Project","23","PR72702","V CONDO","340 JEFFERSON AVE","","MIAMI","FL","33139","2025","12","12","0"
"Condominium Project","23","PR72702","V CONDO","340 JEFFERSON AVE","","MIAMI","FL","33139","2026","12","12","0"
"Condominium Project","45","PR1V000039","VACATION VILLAGE CONDO","SOUTH HIGHWAY #50","PO Box 951","CLERMONT","FL","327110951","2024","772","772","0"
"Condominium Project","45","PR1V000039","VACATION VILLAGE CONDO","SOUTH HIGHWAY #50","PO Box 951","CLERMONT","FL","327110951","2026","772","772","0"
"Condominium Project","45","PR1V000039","VACATION VILLAGE CONDO","SOUTH HIGHWAY #50","PO Box 951","CLERMONT","FL","327110951","2025","772","772","0"
"Condominium Project","45","PR1V000039","VACATION VILLAGE CONDO","SOUTH HIGHWAY #50","PO Box 951","CLERMONT","FL","327110951","2022","772","772","0"
"Condominium Project","45","PR1V000039","VACATION VILLAGE CONDO","SOUTH HIGHWAY #50","PO Box 951","CLERMONT","FL","327110951","2023","772","772","0"
"Condominium Project","60","PR1S003450","VAKA APTS., A CONDO","AA","","LAKE WORTH","FL","33460","2022","","",""
"Condominium Project","60","PR1S003450","VAKA APTS., A CONDO","AA","","LAKE WORTH","FL","33460","2023","","",""
"Condominium Project","60","PR1S003450","VAKA APTS., A CONDO","AA","","LAKE WORTH","FL","33460","2024","","",""
"Condominium Project","60","PR1S003450","VAKA APTS., A CONDO","AA","","LAKE WORTH","FL","33460","2026","","",""
"Condominium Project","60","PR1S003450","VAKA APTS., A CONDO","AA","","LAKE WORTH","FL","33460","2025","","",""
